james@Jamess-MacBook-Pro stevens % python3 manage.py runserver
Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
October 26, 2024 - 05:24:23
Django version 5.1.2, using settings 'stevens.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

[26/Oct/2024 05:24:38] "GET /admin HTTP/1.1" 301 0
[26/Oct/2024 05:24:38] "GET /admin/ HTTP/1.1" 302 0
[26/Oct/2024 05:24:38] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4160
[26/Oct/2024 05:24:38] "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
[26/Oct/2024 05:24:38] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
[26/Oct/2024 05:24:38] "GET /static/admin/css/login.css HTTP/1.1" 200 951
[26/Oct/2024 05:24:38] "GET /static/admin/css/base.css HTTP/1.1" 200 22092
[26/Oct/2024 05:24:38] "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
[26/Oct/2024 05:24:38] "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
[26/Oct/2024 05:24:38] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[26/Oct/2024 05:24:38] "GET /favicon.ico HTTP/1.1" 302 0
[26/Oct/2024 05:24:38] "GET /static/favicon.ico HTTP/1.1" 200 15406
[26/Oct/2024 05:24:43] "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4318
[26/Oct/2024 05:24:50] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[26/Oct/2024 05:24:50] "GET /admin/ HTTP/1.1" 200 6819
[26/Oct/2024 05:24:50] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[26/Oct/2024 05:24:50] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[26/Oct/2024 05:24:50] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[26/Oct/2024 05:25:19] "GET /admin/myapp/temperaturedata/add/ HTTP/1.1" 200 10723
[26/Oct/2024 05:25:19] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[26/Oct/2024 05:25:19] "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
[26/Oct/2024 05:25:19] "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
[26/Oct/2024 05:25:19] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
[26/Oct/2024 05:25:19] "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[26/Oct/2024 05:25:19] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[26/Oct/2024 05:25:19] "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[26/Oct/2024 05:25:19] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
[26/Oct/2024 05:25:19] "GET /static/admin/js/core.js HTTP/1.1" 200 6208
[26/Oct/2024 05:25:19] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[26/Oct/2024 05:25:19] "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
[26/Oct/2024 05:25:19] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
[26/Oct/2024 05:25:19] "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[26/Oct/2024 05:26:30] "POST /admin/myapp/temperaturedata/add/ HTTP/1.1" 302 0
[26/Oct/2024 05:26:30] "GET /admin/myapp/temperaturedata/ HTTP/1.1" 200 9550
[26/Oct/2024 05:26:31] "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
[26/Oct/2024 05:26:31] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[26/Oct/2024 05:26:31] "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[26/Oct/2024 05:26:31] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[26/Oct/2024 05:26:31] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[26/Oct/2024 05:27:13] "GET / HTTP/1.1" 200 1535
[26/Oct/2024 05:27:13] "GET /static/myapp/bootstrap.min.js HTTP/1.1" 200 60349
[26/Oct/2024 05:27:13] "GET /static/myapp/jquery.min.js HTTP/1.1" 200 87462
[26/Oct/2024 05:27:13] "GET /static/myapp/bootstrap.min.css HTTP/1.1" 200 232914
